split,inflation,group,cases,covered,total,coverage,coverage_ci95_low,coverage_ci95_high,mean_width_usd
confirmation,deterministic,stage1_upper,175,28025,29202,0.9596945414697623,0.9430741598774584,0.9726799315441266,988.1810784389925
confirmation,1.0,stage2plus,208,45078,47244,0.9541529083058166,0.942557012568949,0.9642517977348632,258.59944036911327
confirmation,1.15,stage2plus,208,46050,47244,0.9747269494538989,0.9672623943941744,0.981152204854213,297.3807810529254
confirmation,1.3,stage2plus,208,46479,47244,0.9838074676149352,0.9773053009118018,0.9889976773603045,336.1285392795678
confirmation,1.5,stage2plus,208,46723,47244,0.9889721446109558,0.9833432698622282,0.9934517452976249,386.342328261504
confirmation,1.75,stage2plus,208,46809,47244,0.9907924815849631,0.9854405183307183,0.9949087975285174,443.45110149116323
confirmation,10.0,stage2plus,208,46985,47244,0.9945178223689781,0.9908607774027425,0.9973410720367609,903.9327713442143
confirmation,12.0,stage2plus,208,46996,47244,0.994750656167979,0.9912692929231998,0.9974960760701285,923.9927773144459
confirmation,16.0,stage2plus,208,47016,47244,0.9951739903479807,0.9920458154688516,0.9975805415091559,950.6987962686147
confirmation,2.0,stage2plus,208,46854,47244,0.991744983489967,0.9866850942922681,0.9956775154640346,495.0492487262969
confirmation,2.5,stage2plus,208,46908,47244,0.9928879857759716,0.9882887848411065,0.9963772936487094,582.6778515622641
confirmation,24.0,stage2plus,208,47023,47244,0.9953221573109813,0.9922715752339604,0.9976295307627616,978.112849480909
confirmation,3.0,stage2plus,208,46927,47244,0.9932901532469731,0.9887720187700969,0.996806655597437,648.4887602270481
confirmation,4.0,stage2plus,208,46950,47244,0.9937769875539751,0.9895335819128636,0.9970398272713064,735.0280382455542
confirmation,5.0,stage2plus,208,46955,47244,0.9938828210989755,0.989716283943205,0.9971044126168254,790.0901017891997
confirmation,6.0,stage2plus,208,46975,47244,0.9943061552789773,0.990607496806331,0.9972499625310657,827.5523043441964
